starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 02:35:45 2017	1499492145	1	6	6	4
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:45 2017	1499492145	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:45 2017	1499492145	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	8	8
Sat Jul 08 02:35:45 2017	1499492145	0	8	8	8
Sat Jul 08 02:35:46 2017	1499492146	0	8	9	8
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	8
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	8
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	8
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:45 2017	1499492145	0	9	9	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	10	9
Sat Jul 08 02:35:46 2017	1499492146	0	9	10	9
Sat Jul 08 02:35:46 2017	1499492146	0	10	10	9
Sat Jul 08 02:35:45 2017	1499492145	0	10	10	10
Sat Jul 08 02:35:45 2017	1499492145	0	10	10	10
Sat Jul 08 02:35:45 2017	1499492145	0	10	10	10
Sat Jul 08 02:35:46 2017	1499492146	0	10	10	10
Sat Jul 08 02:35:46 2017	1499492146	0	10	10	10
Sat Jul 08 02:35:45 2017	1499492145	0	10	10	10
Sat Jul 08 02:35:45 2017	1499492145	0	10	10	10
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	10
Sat Jul 08 02:35:45 2017	1499492145	0	10	11	10
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	10
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
Sat Jul 08 02:35:45 2017	1499492145	0	11	11	11
Sat Jul 08 02:35:46 2017	1499492146	0	11	11	11
