starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:21:28 2017	1499484088	2	106	107	105
Sat Jul 08 00:21:32 2017	1499484092	0	117	117	117
Sat Jul 08 00:21:42 2017	1499484102	0	118	118	117
Sat Jul 08 00:21:36 2017	1499484096	0	118	118	117
Sat Jul 08 00:21:35 2017	1499484095	0	118	118	117
Sat Jul 08 00:21:36 2017	1499484096	0	118	118	118
Sat Jul 08 00:21:35 2017	1499484095	0	118	118	118
Sat Jul 08 00:21:42 2017	1499484102	0	118	118	118
Sat Jul 08 00:21:38 2017	1499484098	0	118	118	118
Sat Jul 08 00:21:42 2017	1499484102	0	118	118	118
Sat Jul 08 00:21:30 2017	1499484090	0	118	118	118
Sat Jul 08 00:21:33 2017	1499484093	0	118	118	118
Sat Jul 08 00:21:39 2017	1499484099	0	118	118	118
Sat Jul 08 00:21:34 2017	1499484094	0	118	118	118
Sat Jul 08 00:21:30 2017	1499484090	0	118	118	118
Sat Jul 08 00:21:37 2017	1499484097	0	118	119	118
Sat Jul 08 00:21:42 2017	1499484102	0	118	119	118
Sat Jul 08 00:21:33 2017	1499484093	0	119	119	118
Sat Jul 08 00:21:34 2017	1499484094	0	119	119	118
Sat Jul 08 00:21:34 2017	1499484094	0	119	119	118
Sat Jul 08 00:21:40 2017	1499484100	0	119	119	118
Sat Jul 08 00:21:38 2017	1499484098	0	119	119	118
Sat Jul 08 00:21:37 2017	1499484097	0	119	119	118
Sat Jul 08 00:21:37 2017	1499484097	0	119	119	118
Sat Jul 08 00:21:41 2017	1499484101	0	119	119	118
Sat Jul 08 00:21:36 2017	1499484096	0	119	119	119
Sat Jul 08 00:21:35 2017	1499484095	0	119	119	119
Sat Jul 08 00:21:33 2017	1499484093	0	119	119	119
Sat Jul 08 00:21:31 2017	1499484091	0	119	119	119
Sat Jul 08 00:21:41 2017	1499484101	0	119	119	119
Sat Jul 08 00:21:39 2017	1499484099	0	119	119	119
Sat Jul 08 00:21:32 2017	1499484092	0	119	119	119
Sat Jul 08 00:21:40 2017	1499484100	0	120	120	119
Sat Jul 08 00:21:40 2017	1499484100	0	120	120	120
Sat Jul 08 00:21:33 2017	1499484093	0	120	120	120
Sat Jul 08 00:21:36 2017	1499484096	0	120	120	120
Sat Jul 08 00:21:30 2017	1499484090	0	120	120	120
Sat Jul 08 00:21:31 2017	1499484091	0	120	120	120
Sat Jul 08 00:21:39 2017	1499484099	0	121	121	120
