starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	1	1
Sat Jul 08 00:11:42 2017	1499483502	0	1	2	1
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
Sat Jul 08 00:11:42 2017	1499483502	0	2	2	2
