starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 02:35:58 2017	1499492158	1	4	5	4
Sat Jul 08 02:35:59 2017	1499492159	0	7	7	7
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	7
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	7
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:59 2017	1499492159	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:59 2017	1499492159	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:59 2017	1499492159	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:59 2017	1499492159	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:59 2017	1499492159	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	8	8
Sat Jul 08 02:35:58 2017	1499492158	0	8	9	8
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	8
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	9
Sat Jul 08 02:35:59 2017	1499492159	0	9	9	9
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	9
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	9
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	9
Sat Jul 08 02:35:59 2017	1499492159	0	9	9	9
Sat Jul 08 02:35:58 2017	1499492158	0	9	9	9
Sat Jul 08 02:35:59 2017	1499492159	0	9	9	9
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	1	9	10	9
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:59 2017	1499492159	0	10	10	10
Sat Jul 08 02:35:59 2017	1499492159	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:59 2017	1499492159	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	10	10
Sat Jul 08 02:35:58 2017	1499492158	0	10	11	10
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	10
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	10
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:59 2017	1499492159	0	11	11	11
Sat Jul 08 02:35:59 2017	1499492159	0	11	11	11
Sat Jul 08 02:35:59 2017	1499492159	0	11	11	11
Sat Jul 08 02:35:59 2017	1499492159	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	11	11
Sat Jul 08 02:35:58 2017	1499492158	0	11	12	11
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	11
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	11
Sat Jul 08 02:35:59 2017	1499492159	0	12	12	12
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	12
Sat Jul 08 02:35:59 2017	1499492159	0	12	12	12
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	12
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	12
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	12
Sat Jul 08 02:35:58 2017	1499492158	0	12	12	12
