starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:20:51 2017	1499484051	0	131	131	126
Sat Jul 08 00:20:52 2017	1499484052	0	131	131	126
Sat Jul 08 00:20:53 2017	1499484053	0	131	131	126
Sat Jul 08 00:20:53 2017	1499484053	0	132	132	127
Sat Jul 08 00:20:52 2017	1499484052	0	133	133	127
Sat Jul 08 00:20:49 2017	1499484049	0	133	133	128
Sat Jul 08 00:20:52 2017	1499484052	0	133	133	128
Sat Jul 08 00:20:50 2017	1499484050	0	133	134	129
Sat Jul 08 00:20:51 2017	1499484051	0	134	134	129
Sat Jul 08 00:20:51 2017	1499484051	0	134	134	129
Sat Jul 08 00:20:49 2017	1499484049	0	135	135	130
Sat Jul 08 00:20:48 2017	1499484048	0	135	135	130
Sat Jul 08 00:20:47 2017	1499484047	0	135	135	130
Sat Jul 08 00:20:39 2017	1499484039	0	135	135	130
Sat Jul 08 00:20:50 2017	1499484050	0	135	135	130
Sat Jul 08 00:20:53 2017	1499484053	0	135	135	131
Sat Jul 08 00:20:54 2017	1499484054	0	136	136	130
Sat Jul 08 00:20:54 2017	1499484054	0	136	136	132
Sat Jul 08 00:20:43 2017	1499484043	0	137	137	130
Sat Jul 08 00:20:53 2017	1499484053	0	137	137	131
Sat Jul 08 00:20:40 2017	1499484040	0	137	137	132
Sat Jul 08 00:20:41 2017	1499484041	0	137	137	132
Sat Jul 08 00:20:49 2017	1499484049	0	138	138	134
Sat Jul 08 00:20:47 2017	1499484047	0	138	139	133
Sat Jul 08 00:20:38 2017	1499484038	0	139	139	134
Sat Jul 08 00:20:39 2017	1499484039	0	139	139	134
Sat Jul 08 00:20:44 2017	1499484044	0	139	139	133
Sat Jul 08 00:20:55 2017	1499484055	0	140	140	133
Sat Jul 08 00:20:55 2017	1499484055	0	140	140	135
Sat Jul 08 00:20:39 2017	1499484039	0	140	140	134
Sat Jul 08 00:20:48 2017	1499484048	0	141	141	135
Sat Jul 08 00:20:41 2017	1499484041	0	142	142	137
Sat Jul 08 00:20:40 2017	1499484040	0	142	142	137
Sat Jul 08 00:20:42 2017	1499484042	0	142	142	138
Sat Jul 08 00:20:44 2017	1499484044	0	143	143	137
Sat Jul 08 00:20:42 2017	1499484042	0	144	144	138
Sat Jul 08 00:20:45 2017	1499484045	0	144	144	138
Sat Jul 08 00:20:54 2017	1499484054	0	144	144	138
Sat Jul 08 00:20:39 2017	1499484039	0	144	144	138
Sat Jul 08 00:20:47 2017	1499484047	0	144	144	140
Sat Jul 08 00:20:40 2017	1499484040	0	144	144	138
Sat Jul 08 00:20:50 2017	1499484050	0	146	146	140
Sat Jul 08 00:20:46 2017	1499484046	0	147	147	142
Sat Jul 08 00:20:43 2017	1499484043	0	147	147	140
Sat Jul 08 00:20:46 2017	1499484046	0	149	149	140
Sat Jul 08 00:20:38 2017	1499484038	1	159	160	120
Sat Jul 08 00:20:46 2017	1499484046	0	162	162	152
Sat Jul 08 00:20:45 2017	1499484045	0	165	165	158
Sat Jul 08 00:20:43 2017	1499484043	0	169	169	160
Sat Jul 08 00:20:45 2017	1499484045	0	171	171	162
Sat Jul 08 00:20:44 2017	1499484044	0	174	174	169
Sat Jul 08 00:20:42 2017	1499484042	0	174	174	167
Sat Jul 08 00:20:48 2017	1499484048	0	178	178	171
Sat Jul 08 00:20:38 2017	1499484038	1	221	222	216
Sat Jul 08 00:20:51 2017	1499484051	0	228	228	223
Sat Jul 08 00:20:52 2017	1499484052	0	228	228	223
Sat Jul 08 00:20:52 2017	1499484052	0	230	230	224
Sat Jul 08 00:20:53 2017	1499484053	0	230	230	225
Sat Jul 08 00:20:51 2017	1499484051	0	231	231	226
Sat Jul 08 00:20:51 2017	1499484051	0	232	232	227
Sat Jul 08 00:20:52 2017	1499484052	0	232	232	227
Sat Jul 08 00:20:38 2017	1499484038	0	233	233	227
Sat Jul 08 00:20:47 2017	1499484047	0	234	234	229
Sat Jul 08 00:20:49 2017	1499484049	0	234	234	230
Sat Jul 08 00:20:50 2017	1499484050	0	234	235	228
Sat Jul 08 00:20:53 2017	1499484053	0	235	235	230
Sat Jul 08 00:20:50 2017	1499484050	0	235	235	230
Sat Jul 08 00:20:38 2017	1499484038	0	236	236	231
Sat Jul 08 00:20:39 2017	1499484039	0	237	237	233
Sat Jul 08 00:20:55 2017	1499484055	0	238	238	233
Sat Jul 08 00:20:53 2017	1499484053	0	238	238	232
Sat Jul 08 00:20:40 2017	1499484040	0	239	239	234
Sat Jul 08 00:20:41 2017	1499484041	0	239	239	232
Sat Jul 08 00:20:51 2017	1499484051	0	239	239	234
Sat Jul 08 00:20:54 2017	1499484054	0	239	239	235
Sat Jul 08 00:20:47 2017	1499484047	0	239	239	235
Sat Jul 08 00:20:47 2017	1499484047	0	241	241	236
Sat Jul 08 00:20:41 2017	1499484041	0	241	242	237
Sat Jul 08 00:20:43 2017	1499484043	0	243	243	238
Sat Jul 08 00:20:55 2017	1499484055	0	243	243	237
Sat Jul 08 00:20:48 2017	1499484048	0	243	243	238
Sat Jul 08 00:20:41 2017	1499484041	0	243	243	237
Sat Jul 08 00:20:39 2017	1499484039	0	243	244	238
Sat Jul 08 00:20:54 2017	1499484054	0	244	244	237
Sat Jul 08 00:20:54 2017	1499484054	0	244	244	238
Sat Jul 08 00:20:42 2017	1499484042	0	244	244	240
Sat Jul 08 00:20:40 2017	1499484040	0	245	245	239
Sat Jul 08 00:20:50 2017	1499484050	0	246	246	239
Sat Jul 08 00:20:44 2017	1499484044	0	248	248	243
Sat Jul 08 00:20:42 2017	1499484042	0	248	248	242
Sat Jul 08 00:20:55 2017	1499484055	0	248	249	242
