starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 02:34:02 2017	1499492042	0	7	7	7
Sat Jul 08 02:34:03 2017	1499492043	0	8	8	8
Sat Jul 08 02:34:03 2017	1499492043	0	8	8	8
Sat Jul 08 02:34:03 2017	1499492043	0	8	8	8
Sat Jul 08 02:34:02 2017	1499492042	0	8	8	8
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	9	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	9	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	9	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	10	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	10	9
Sat Jul 08 02:34:03 2017	1499492043	0	9	10	9
Sat Jul 08 02:34:02 2017	1499492042	0	9	10	9
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	9
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	9
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	9
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	9
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	9
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:02 2017	1499492042	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	10	10	10
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:02 2017	1499492042	0	11	11	11
Sat Jul 08 02:34:02 2017	1499492042	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	9
Sat Jul 08 02:34:02 2017	1499492042	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:03 2017	1499492043	0	11	11	11
Sat Jul 08 02:34:02 2017	1499492042	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:02 2017	1499492042	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:02 2017	1499492042	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:02 2017	1499492042	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	12	12
Sat Jul 08 02:34:02 2017	1499492042	0	12	12	12
Sat Jul 08 02:34:03 2017	1499492043	0	12	13	12
Sat Jul 08 02:34:02 2017	1499492042	0	13	13	12
Sat Jul 08 02:34:02 2017	1499492042	0	13	13	12
Sat Jul 08 02:34:02 2017	1499492042	0	13	13	12
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	12
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	12
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	13
Sat Jul 08 02:34:02 2017	1499492042	0	13	13	13
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	13
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	13
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	13
Sat Jul 08 02:34:03 2017	1499492043	0	13	13	13
